country_Code,Country_number,Country,Currency Name,Currency_Code,Currency_Number
SGP,702,SINGAPORE,Singapore Dollar,SGD,702
SXM,534,SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder,ANG,532
SVK,703,SLOVAKIA,Euro,EUR,978
SVN,705,SLOVENIA,Euro,EUR,978
SLB,90,SOLOMON ISLANDS,Solomon Islands Dollar,SBD,90
SOM,706,SOMALIA,Somali Shilling,SOS,706
ZAF,710,SOUTH AFRICA,Rand,ZAR,710
SGS,239,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS, none,NON,0
SSD,728,SOUTH SUDAN,South Sudanese Pound,SSP,728
ESP,724,SPAIN,Euro,EUR,978
LKA,144,SRI LANKA,Sri Lanka Rupee,LKR,144
SDN,729,SUDAN (THE),Sudanese Pound,SDG,938
SUR,740,SURINAME,Surinam Dollar,SRD,968
SJM,744,SVALBARD AND JAN MAYEN,Norwegian Krone,NOK,578
SWZ,748,SWAZILAND,Lilangeni,SZL,748
SWE,752,SWEDEN,Swedish Krona,SEK,752
CHE,756,SWITZERLAND,WIR Euro,CHE,947
CHE,756,SWITZERLAND,Swiss Franc,CHF,756
CHE,756,SWITZERLAND,WIR Franc,CHW,948
SYR,760,SYRIAN ARAB REPUBLIC,Syrian Pound,SYP,760
TWN,158,TAIWAN (PROVINCE OF CHINA),New Taiwan Dollar,TWD,901
TJK,762,TAJIKISTAN,Somoni,TJS,972
TZA,834,TANZANIA| UNITED REPUBLIC OF,Tanzanian Shilling,TZS,834
THA,764,THAILAND,Baht,THB,764
TLS,626,TIMOR-LESTE,US Dollar,USD,840
TGO,768,TOGO,CFA Franc BCEAO,XOF,952
TKL,772,TOKELAU,New Zealand Dollar,NZD,554
TON,776,TONGA,Pa’anga,TOP,776
TTO,780,TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,780
TUN,788,TUNISIA,Tunisian Dinar,TND,788
TUR,792,TURKEY,Turkish Lira,TRY,949
TKM,795,TURKMENISTAN,Turkmenistan New Manat,TMT,934
TCA,796,TURKS AND CAICOS ISLANDS (THE),US Dollar,USD,840
TUV,798,TUVALU,Australian Dollar,AUD,36
